Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,Custom Data 2,Custom Data 3,Topic,How confident are you in recalling facts about genetics?,How confident are you in understanding the core concepts in genetics?,How confident are you in understanding how genes relate to proteins?,How confident are you in understanding how genetic sequence errors relate to diseases?,How confident are you that you could understand genetics?,How important to you is it that you understand genetics?,How important do you think that an understanding of genetics will be for your career?,How much does genetics relate to other modules on your course?,"Do you prefer lectures that review the same material that is in the textbooks (A), or lectures that provide the ‘bigger picture’ and go beyond the set reading (B)?","How likely would you be to complete online multiple choice tests during the module to check your factual knowledge and understanding, even though it would not count towards your mark?","How much would you like to work in a group of three or four students to research and solve a practical problem during the module, even if it would not count towards your mark?","How much do you think the assessment should test your  factual knowledge, and how much should it test understanding and analysis?",How confident are you in reading material that contains novel technical terms or unfamiliar jargon?,How confident are you in understanding the recommended reading?,"How confident are you with everyday mental arithmetic, such as multiplication and division?",How confident are you with the sort of numerical calculations you need to do in your modules?,How confident are you in understanding the statistical tests reported in research papers?,How much of the recommended reading would you normally do each week?,How long would you expect to spend in reading a research paper for a discussion group or for the next lecture?,"How long would you expect to spend in reading a research paper to grasp the gist of its rationale, method, and discussion?","How long would you expect to spend in reading a research paper to fully understand its rationale, method, analysis and discussion?",COUNT
6438276471,162227386,08/10/2017 14:39,08/10/2017 14:45,196,1,10548380,2,50,62,,,51,31,25,43,78,100,62,50,68,66,63,46,43,3,2,3,3,19
6438112246,162227386,08/10/2017 10:00,08/10/2017 10:04,191,1,10575582,5,30,50,,,50,44,24,47,53,81,50,41,60,64,78,85,56,3,3,2,3,19
6437506921,162227386,07/10/2017 16:27,07/10/2017 16:36,191,1,10578377,3,46,42,,,44,100,89,68,75,65,59,68,43,47,24,29,35,4,3,3,3,19
6437363224,162227386,07/10/2017 13:41,07/10/2017 14:00,4661,4,10512466,6,50,49,,,50,79,61,70,92,76,29,69,63,77,56,74,77,3,2,1,2,19
6435137525,162227386,06/10/2017 08:56,06/10/2017 09:00,4661,5,10486592,6,3,6,,,20,49,50,37,50,38,0,76,64,66,37,37,27,2,2,2,2,19
6433614209,162227386,05/10/2017 16:03,05/10/2017 16:06,191,2,10551977,5,67,82,,,72,99,94,63,31,31,1,72,36,33,59,64,77,2,2,1,2,19
6432659122,162227386,05/10/2017 07:47,05/10/2017 07:51,4661,2,10552096,4,13,54,,,51,78,73,71,21,97,65,84,20,70,95,79,72,3,3,2,2,19
6431576719,162227386,04/10/2017 19:15,04/10/2017 19:18,191,4,10533976,3,50,50,,,50,60,16,30,90,29,30,18,38,76,59,60,35,3,2,1,4,19
6430880320,162227386,04/10/2017 15:04,04/10/2017 15:07,3370,2,10566831,6,42,40,,,58,57,58,44,64,60,41,35,45,46,81,62,62,3,3,3,4,19
6430493632,162227386,04/10/2017 12:41,04/10/2017 12:44,202,1,10587051,3,20,31,,,34,69,64,75,46,86,36,67,40,42,30,32,21,2,2,2,3,19
6430123789,162227386,04/10/2017 08:45,04/10/2017 08:48,191,1,10561172,3,0,99,,,51,56,52,68,99,64,90,99,82,88,37,2,1,2,3,3,3,19
6429568100,162227386,04/10/2017 00:39,04/10/2017 00:45,191,2,10567904,3,50,50,,,71,71,72,100,73,100,100,68,72,72,73,40,40,4,3,2,3,19
6429022874,162227386,03/10/2017 19:54,03/10/2017 19:58,191,1,10575509,3,38,50,,,50,65,50,57,68,72,62,50,50,60,95,60,50,3,3,3,4,19
6428479173,162227386,03/10/2017 16:31,03/10/2017 16:35,191,1,10580854,3,19,31,,,49,73,68,65,69,66,67,50,44,65,66,63,61,4,2,2,2,19
6428296821,162227386,03/10/2017 15:29,03/10/2017 15:34,3370,1,10580174,6,27,36,,,74,52,72,72,80,79,77,52,52,52,35,44,42,5,4,4,5,19
6428223332,162227386,03/10/2017 15:03,03/10/2017 15:11,191,1,10556815,6,57,57,,,64,38,32,41,25,73,61,25,32,40,84,64,63,2,2,2,3,19
6427849503,162227386,03/10/2017 11:41,03/10/2017 11:47,191,1,10579334,3,31,62,,,36,100,88,59,26,62,53,100,66,41,85,55,44,1,1,4,4,19
6427767670,162227386,03/10/2017 10:49,03/10/2017 10:52,3370,2,10558180,3,5,6,,,12,100,81,76,20,67,72,70,36,45,76,39,41,2,3,3,4,19
6427626244,162227386,03/10/2017 09:00,03/10/2017 09:04,191,1,10580706,6,55,49,,,82,100,74,83,87,100,64,46,55,73,81,85,86,4,3,2,3,19
6427538550,162227386,03/10/2017 07:47,03/10/2017 07:52,3370,1,10579788,6,25,47,,,65,31,38,68,78,73,71,21,36,64,24,35,34,2,3,4,4,19
